encoding,auroc,f1,task,model,dataset
WCYKMVHQFDGRLITNEASP,0.7927239476176481,0.8071833648393195,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.877961611312498,0.8826382153249273,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8135266647072271,0.8240917782026769,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.831847424969792,0.8598781549173194,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8014863165801247,0.8122605363984674,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8556954377714641,0.8447729672650475,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8168964926031154,0.8257940327237728,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.856299598314882,0.8706099815157117,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.807654469155155,0.8222013170272813,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8875077561150845,0.8995391705069125,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8123714117762321,0.8236415633937083,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8758429672447013,0.8809293320425944,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8063992031612292,0.8175740210124164,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8679398941902616,0.8690476190476191,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.7932117664347996,0.8146788990825689,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8550443323209563,0.8667917448405253,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8025456386140231,0.8130393096836049,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.822409457561804,0.8529411764705882,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8090015838803436,0.821969696969697,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8494599294601743,0.8635097493036211,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.807266663400934,0.819047619047619,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8643945331635153,0.8812330009066183,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.806111410469939,0.818613485280152,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8771941641357238,0.8844317096466093,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8106405734626563,0.825187969924812,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8537972306586983,0.86996336996337,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8155493778779269,0.8260038240917782,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8714097351490807,0.8745098039215686,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8280652983246791,0.831858407079646,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8774819568270142,0.8837656099903939,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8111202279481402,0.8235294117647058,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8504274027628099,0.8680618744313012,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8117917442278175,0.8211538461538461,binary,custom,immune
WCYKMVHQFDGRLITNEASP,0.8772941771986545,0.8874296435272045,binary,resnet,immune
WCYKMVHQFDGRLITNEASP,0.8212297116358055,0.8286544046466602,binary,custom,immune
