encoding,auroc,f1,task,type,dataset
WCYKMVHQFDGRLITNEASP,0.7584019075204188,0.781799379524302,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7470135697363904,0.8295505117935025,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7319691046429538,0.8328345446772125,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7472361044839009,0.8293986636971047,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7596464278638617,0.7664155005382132,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7462120260846998,0.8275245755138516,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7138328715214121,0.6686819830713422,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7497732796459534,0.8293775190326914,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7702478716190763,0.823585354255825,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7478597598578011,0.832375055285272,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7529766638483583,0.8199907450254512,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7467017420494403,0.8280482358195623,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7634316113748044,0.7800524934383202,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7477704669183611,0.8307418924922256,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7622763839708012,0.7965846308387745,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7543586116064078,0.8331096196868009,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.6999868850995197,0.6405959031657356,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7496400378378829,0.8311804008908686,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7469682256655812,0.8243792325056434,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7442092133571075,0.8289007092198581,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7512403347369068,0.8176334106728538,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7470135697363904,0.8295505117935025,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7433155863616197,0.8069516204790982,binary,resnet,deeploc
WCYKMVHQFDGRLITNEASP,0.7548483275711483,0.8336314847942755,binary,custom,deeploc
WCYKMVHQFDGRLITNEASP,0.7178580298070993,0.8281381634372368,binary,resnet,deeploc
