Accuracy,Class0_Accuracy,Class1_Accuracy,Train_Class0_Count,Train_Class1_Count,Dataset,Ratio
0.5994297933000713,0.7279202279202279,0.47075606276747506,2705,2705,Mix,0.7
0.5915894511760513,0.7450142450142451,0.43794579172610554,2705,2705,Mix,0.7
0.5887384176764077,0.7207977207977208,0.456490727532097,2705,2705,Mix,0.7
0.5780470420527442,0.6438746438746439,0.5121255349500713,2705,2705,Mix,0.7
0.5930149679258732,0.7492877492877493,0.43651925820256776,2704,2706,Mix,0.7
0.5880256593014968,0.7706552706552706,0.4051355206847361,2704,2706,Mix,0.7
0.6072701354240913,0.8062678062678063,0.4079885877318117,2704,2706,Mix,0.7
0.601568068424804,0.7991452991452992,0.4037089871611983,2704,2706,Mix,0.7
0.6329294369208838,0.9045584045584045,0.3609129814550642,2367,2367,Mix,0.8
0.6714183891660727,0.8162393162393162,0.5263908701854494,2367,2368,Mix,0.8
0.6585887384176764,0.8447293447293447,0.47218259629101283,2367,2368,Mix,0.8
0.6528866714183892,0.8575498575498576,0.4479315263908702,2367,2368,Mix,0.8
0.6714183891660727,0.801994301994302,0.5406562054208274,2367,2368,Mix,0.8
0.66928011404134,0.8091168091168092,0.5292439372325249,2367,2368,Mix,0.8
0.6464718460441911,0.8632478632478633,0.42938659058487877,2367,2368,Mix,0.8
0.6421952957947256,0.8917378917378918,0.39229671897289586,2367,2368,Mix,0.8
0.6664290805416964,0.7977207977207977,0.5349500713266762,2367,2368,Mix,0.8
0.6678545972915182,0.7977207977207977,0.5378031383737518,2367,2368,Mix,0.8
0.6600142551674982,0.8703703703703703,0.44935805991440797,2103,2104,Mix,0.9
0.6614397719173201,0.8789173789173789,0.44365192582025675,2103,2104,Mix,0.9
0.6585887384176764,0.8732193732193733,0.44365192582025675,2103,2104,Mix,0.9
0.6507483962936564,0.8746438746438746,0.42653352353780316,2103,2104,Mix,0.9
0.6650035637918745,0.8675213675213675,0.46219686162624823,2103,2104,Mix,0.9
0.6478973627940128,0.8974358974358975,0.3980028530670471,2104,2104,Mix,0.9
0.6664290805416964,0.8504273504273504,0.48216833095577744,2104,2104,Mix,0.9
0.6550249465431219,0.8789173789173789,0.43081312410841655,2104,2104,Mix,0.9
0.6521739130434783,0.8632478632478633,0.44079885877318115,2103,2105,Mix,0.9
0.6528866714183892,0.8603988603988604,0.4450784593437946,2103,2105,Mix,0.9
0.579472558802566,0.6965811965811965,0.46219686162624823,3787,3788,Max,0.5
0.5773342836778332,0.6638176638176638,0.49072753209700426,3787,3788,Max,0.5
0.5702066999287242,0.6310541310541311,0.5092724679029957,3787,3788,Max,0.5
0.5780470420527442,0.6866096866096866,0.4693295292439372,3787,3788,Max,0.5
0.5730577334283677,0.6680911680911681,0.47788873038516405,3787,3788,Max,0.5
0.5645046329294369,0.6481481481481481,0.48074179743223966,3787,3788,Max,0.5
0.571632216678546,0.6495726495726496,0.49358059914407987,3787,3788,Max,0.5
0.5830363506771205,0.717948717948718,0.4479315263908702,3788,3788,Max,0.5
0.5659301496792587,0.6339031339031339,0.4978601997146933,3788,3788,Max,0.5
0.5844618674269423,0.9017094017094017,0.26676176890156916,3787,3789,Max,0.5
0.5958660014255167,0.792022792022792,0.39942938659058486,3156,3157,Max,0.6
0.5602280826799715,0.5683760683760684,0.5520684736091298,3156,3157,Max,0.6
0.5937277263007841,0.7578347578347578,0.42938659058487877,3156,3157,Max,0.6
0.5937277263007841,0.7279202279202279,0.4593437945791726,3156,3157,Max,0.6
0.5901639344262295,0.7264957264957265,0.4536376604850214,3156,3157,Max,0.6
0.5823235923022095,0.7165242165242165,0.4479315263908702,3157,3157,Max,0.6
0.5958660014255167,0.8945868945868946,0.2967189728958631,3157,3157,Max,0.6
0.5851746258018532,0.707977207977208,0.46219686162624823,3157,3157,Max,0.6
0.5987170349251604,0.8575498575498576,0.33951497860199714,3156,3158,Max,0.6
0.5830363506771205,0.7008547008547008,0.46504992867332384,3156,3158,Max,0.6
0.5980042765502495,0.8005698005698005,0.39514978601997147,2704,2705,Max,0.7
0.6151104775481112,0.8262108262108262,0.4037089871611983,2705,2705,Max,0.7
0.5987170349251604,0.7606837606837606,0.43651925820256776,2705,2705,Max,0.7
0.5844618674269423,0.7022792022792023,0.4664764621968616,2705,2705,Max,0.7
0.5937277263007841,0.7264957264957265,0.4607703281027104,2705,2705,Max,0.7
0.6122594440484675,0.792022792022792,0.4322396576319544,2705,2705,Max,0.7
0.5987170349251604,0.7564102564102564,0.44079885877318115,2704,2706,Max,0.7
0.5923022095509622,0.782051282051282,0.40228245363766046,2704,2706,Max,0.7
