encoding,auroc,accuracy,task,model,dataset
WCYKMVHQFDGRLITNEASP,0.705922465323761,0.33834822682648397,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8042183722924081,0.3921201242189668,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7134010914535436,0.3671717449069921,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8082592689005186,0.4660201140779261,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7357545209861953,0.3551423441227422,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8038323705786213,0.3901997076678011,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7346937876034823,0.4288391583422523,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8092176164578829,0.4321235589092174,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7180122855622476,0.3707847417426456,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8031386933666316,0.4405054416321602,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.6971379827197843,0.36069249440130885,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8018308936822489,0.39136405834246113,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.6734268534402654,0.2855676934317243,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8078712265758885,0.41195543408571567,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.734747477356233,0.41774145853175204,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8056853502898651,0.3976501761110841,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7220375985405735,0.34846454905278434,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8032284762158074,0.4552105245407197,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7133670789282567,0.31184479617042177,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.803671763974806,0.46835463707158453,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7028295763039393,0.33680927717361897,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.806353402519693,0.45189589199911195,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7265592227079132,0.38689012265636336,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8068031836482913,0.45477436990331555,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7361700057255239,0.4078486258904417,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8060968856569699,0.4042799973315409,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7244100139356482,0.3978324226996271,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8041259749674099,0.4324429465285545,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7554311153458168,0.38350668057715287,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8092673523294911,0.44779017254421055,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7146106974729867,0.35786751107370135,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8046218433031418,0.45035361176775063,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7342722335238788,0.3881013926534833,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8019039370703129,0.42211080700304027,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7119809089156226,0.34671754235638336,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8078808508309893,0.43567756437848404,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7128324311957382,0.3467126490530746,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8084020622378933,0.4348020651895432,multiclass,custom,tox
WCYKMVHQFDGRLITNEASP,0.7062847125172895,0.3528164696094146,multiclass,resnet,tox
WCYKMVHQFDGRLITNEASP,0.8068900474124453,0.4724177442973806,multiclass,custom,tox
